states,coordinate_x,coordinate_y
Edirne,-629,274
Kırklareli,-564,319
Tekirdağ,-593,263
İstanbul,-495,270
Kocaeli,-406,232
Yalova,-451,209
Bursa,-485,160
Balıkesir,-580,126
Çanakkale,-655,162
Manisa,-567,44
İzmir,-617,1
Aydın,-592,-51
Muğla,-569,-101
Kütahya,-465,81
Uşak,-473,16
Denizli,-480,-47
Burdur,-426,-85
Antalya,-397,-128
Isparta,-356,-56
Afyon,-390,25
Eskişehir,-359,115
Bilecik,-403,159
Sakarya,-367,215
Düzce,-318,229
Bolu,-301,194
Ankara,-218,148
Konya,-246,-16
Karaman,-174,-112
Mersin,-138,-162
Niğde,-69,-42
Aksaray,-134,-11
Nevşehir,-60,28
Kırşehir,-104,83
Kırıkkale,-138,130
Çankırı,-162,210
Karabük,-215,252
Zonguldak,-271,263
Bartın,-218,296
Kastamonu,-142,293
Sinop,-51,300
Çorum,-71,197
Yozgat,-29,117
Kayseri,8,21
Adana,-14,-104
Amasya,7,213
Samsun,17,261
Ordu,129,233
Tokat,62,180
Sivas,111,117
Kahramanmaraş,88,-38
Osmaniye,54,-107
Hatay,57,-189
Kilis,118,-145
Gaziantep,139,-120
Adıyaman,182,-52
Malatya,172,22
Giresun,206,213
Gümüşhane,270,192
Trabzon,290,239
Bayburt,330,189
Erzincan,259,131
Tunceli,274,80
Elazığ,266,25
Diyarbakır,348,-17
Şanlıurfa,262,-108
Mardin,387,-85
Batman,428,-33
Bingöl,370,73
Erzurum,418,168
Rize,372,249
Artvin,435,281
Ardahan,506,279
Kars,528,220
Iğdır,595,174
Ağrı,543,137
Muş,456,75
Bitlis,476,24
Siirt,483,-24
Şırnak,508,-64
Hakkari,616,-46
Van,591,22
